Date,Open,High,Low,Close,Volume
2018-11-20 09:00:00,1.56,1.56,1.56,1.56,0
2018-11-20 09:05:00,1.56,1.56,1.56,1.56,0
2018-11-20 09:10:00,1.56,1.56,1.56,1.56,0
2018-11-20 09:15:00,1.56,1.56,1.56,1.56,0
2018-11-20 09:20:00,1.56,1.56,1.56,1.56,0
2018-11-20 09:25:00,1.56,1.56,1.56,1.56,0
2018-11-20 09:30:00,1.56,1.56,1.56,1.56,0
2018-11-20 09:35:00,1.56,1.56,1.56,1.56,0
2018-11-20 09:40:00,1.56,1.56,1.56,1.56,0
2018-11-20 09:45:00,1.56,1.56,1.56,1.56,0
2018-11-20 09:50:00,1.56,1.56,1.56,1.56,0
2018-11-20 09:55:00,1.56,1.56,1.56,1.56,0
2018-11-20 10:00:00,1.5527,1.5527,1.5527,1.5527,174
2018-11-20 10:05:00,1.5527,1.5527,1.5527,1.5527,174
2018-11-20 10:10:00,1.5527,1.5527,1.5527,1.5527,174
2018-11-20 10:15:00,1.62,1.62,1.62,1.62,105
2018-11-20 10:20:00,1.62,1.62,1.62,1.62,105
2018-11-20 10:25:00,1.62,1.62,1.62,1.62,105
2018-11-20 10:30:00,1.62,1.62,1.62,1.62,166
2018-11-20 10:35:00,1.62,1.62,1.62,1.62,166
2018-11-20 10:40:00,1.62,1.62,1.62,1.62,166
2018-11-20 10:45:00,1.62,1.62,1.62,1.62,166
2018-11-20 10:50:00,1.62,1.62,1.62,1.62,166
2018-11-20 10:55:00,1.62,1.62,1.62,1.62,166
2018-11-20 11:00:00,1.62,1.62,1.62,1.62,166
2018-11-20 11:05:00,1.62,1.62,1.62,1.62,166
2018-11-20 11:10:00,1.62,1.62,1.62,1.62,166
2018-11-20 11:15:00,1.5999,1.5999,1.5999,1.5999,2079
2018-11-20 11:20:00,1.5999,1.5999,1.5999,1.5999,2079
2018-11-20 11:25:00,1.5999,1.5999,1.5999,1.5999,2079
2018-11-20 11:30:00,1.58,1.58,1.58,1.58,256
2018-11-20 11:35:00,1.58,1.58,1.58,1.58,256
2018-11-20 11:40:00,1.58,1.58,1.58,1.58,256
2018-11-20 11:45:00,1.59,1.59,1.59,1.59,125
2018-11-20 11:50:00,1.59,1.59,1.59,1.59,125
2018-11-20 11:55:00,1.59,1.59,1.59,1.59,125
2018-11-20 12:00:00,1.5867,1.5867,1.5867,1.5867,310
2018-11-20 12:05:00,1.5867,1.5867,1.5867,1.5867,310
2018-11-20 12:10:00,1.5867,1.5867,1.5867,1.5867,310
2018-11-20 12:15:00,1.5867,1.5867,1.5867,1.5867,310
2018-11-20 12:20:00,1.5867,1.5867,1.5867,1.5867,310
2018-11-20 12:25:00,1.5867,1.5867,1.5867,1.5867,310
2018-11-20 12:30:00,1.5867,1.5867,1.5867,1.5867,310
2018-11-20 12:35:00,1.5867,1.5867,1.5867,1.5867,310
2018-11-20 12:40:00,1.5867,1.5867,1.5867,1.5867,310
2018-11-20 12:45:00,1.5867,1.5867,1.5867,1.5867,310
2018-11-20 12:50:00,1.5867,1.5867,1.5867,1.5867,310
2018-11-20 12:55:00,1.5867,1.5867,1.5867,1.5867,310
2018-11-20 13:00:00,1.58,1.58,1.57,1.58,3486
2018-11-20 13:05:00,1.58,1.58,1.57,1.58,3486
2018-11-20 13:10:00,1.58,1.58,1.57,1.58,3486
2018-11-20 13:15:00,1.55,1.55,1.55,1.55,300
2018-11-20 13:20:00,1.55,1.55,1.55,1.55,300
2018-11-20 13:25:00,1.55,1.55,1.55,1.55,300
2018-11-20 13:30:00,1.5523,1.59,1.55,1.59,12746
2018-11-20 13:35:00,1.5523,1.59,1.55,1.59,12746
2018-11-20 13:40:00,1.5523,1.59,1.55,1.59,12746
2018-11-20 13:45:00,1.5523,1.59,1.55,1.59,12746
2018-11-20 13:50:00,1.5523,1.59,1.55,1.59,12746
2018-11-20 13:55:00,1.5523,1.59,1.55,1.59,12746
2018-11-20 14:00:00,1.5523,1.59,1.55,1.59,12746
2018-11-20 14:05:00,1.5523,1.59,1.55,1.59,12746
2018-11-20 14:10:00,1.5523,1.59,1.55,1.59,12746
2018-11-20 14:15:00,1.67,1.67,1.65,1.65,442
2018-11-20 14:20:00,1.67,1.67,1.65,1.65,442
2018-11-20 14:25:00,1.67,1.67,1.65,1.65,442
2018-11-20 14:30:00,1.5858,1.5858,1.55,1.55,6150
2018-11-20 14:35:00,1.5858,1.5858,1.55,1.55,6150
2018-11-20 14:40:00,1.5858,1.5858,1.55,1.55,6150
2018-11-20 14:45:00,1.56,1.6,1.56,1.6,507
2018-11-20 14:50:00,1.56,1.6,1.56,1.6,507
2018-11-20 14:55:00,1.56,1.6,1.56,1.6,507
2018-11-20 15:00:00,1.64,1.64,1.5578,1.5578,900
2018-11-20 15:05:00,1.64,1.64,1.5578,1.5578,900
2018-11-20 15:10:00,1.64,1.64,1.5578,1.5578,900
2018-11-20 15:15:00,1.67,1.67,1.67,1.67,201
2018-11-20 15:20:00,1.67,1.67,1.67,1.67,201
2018-11-20 15:25:00,1.67,1.67,1.67,1.67,201
2018-11-20 15:30:00,1.66,1.66,1.62,1.62,200
2018-11-20 15:35:00,1.66,1.66,1.62,1.62,200
2018-11-20 15:40:00,1.66,1.66,1.62,1.62,200
2018-11-20 15:45:00,1.6,1.6,1.6,1.6,175
2018-11-20 15:50:00,1.6,1.6,1.6,1.6,175
2018-11-20 15:55:00,1.6,1.6,1.6,1.6,175
2018-11-21 09:00:00,1.59,1.59,1.59,1.59,0
2018-11-21 09:05:00,1.59,1.59,1.59,1.59,0
2018-11-21 09:10:00,1.59,1.59,1.59,1.59,0
2018-11-21 09:15:00,1.59,1.59,1.59,1.59,0
2018-11-21 09:20:00,1.59,1.59,1.59,1.59,0
2018-11-21 09:25:00,1.59,1.59,1.59,1.59,0
2018-11-21 09:30:00,1.59,1.59,1.59,1.59,0
2018-11-21 09:35:00,1.59,1.59,1.59,1.59,0
2018-11-21 09:40:00,1.59,1.59,1.59,1.59,0
2018-11-21 09:45:00,1.59,1.59,1.59,1.59,0
2018-11-21 09:50:00,1.59,1.59,1.59,1.59,0
2018-11-21 09:55:00,1.59,1.59,1.59,1.59,0
2018-11-21 10:00:00,1.6274,1.6274,1.6274,1.6274,175
2018-11-21 10:05:00,1.6274,1.6274,1.6274,1.6274,175
